District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	317.0	6	25	29	35	6
0	308.5	10	18	27	34	11
0	316.5	7	26	25	34	8
0	327.3	15	23	24	26	13
0	328.6	11	28	25	28	7
0	331.3	15	27	27	27	3
0	333.9	11	27	38	20	4
0	38.5	0	0	0	0	0
0	38.8	0	0	0	0	0
0	38.9	0	0	0	0	0
0	38.3	0	0	0	0	0
0	38.2	0	0	0	0	0
0	34.0	0	0	0	0	0
0	37.2	0	0	0	0	0
0	35.8	0	0	0	0	0
0	34.5	0	0	0	0	0
0	36.7	0	0	0	0	0
0	34.5	0	0	0	0	0
0	35.1	0	0	0	0	0
0	34.9	0	0	0	0	0
0	34.9	0	0	0	0	0
0	368.3	23	37	24	15	1
0	350.9	28	27	27	15	3
0	358.5	27	31	27	13	2
0	373.9	24	37	23	15	1
0	375.8	26	39	20	13	2
0	353.2	27	30	28	12	2
0	375.9	33	35	20	7	5
0	402.3	45	30	14	8	2
0	369.0	30	34	23	9	4
0	418.0	51	26	14	8	1
0	392.6	51	28	15	4	2
0	405.4	52	26	15	6	1
0	382.3	30	39	22	6	3
0	382.4	40	35	19	4	2
0	407.9	38	33	16	10	3
0	375.8	34	38	21	5	2
0	380.5	31	34	22	11	3
0	377.2	33	39	21	5	2
0	368.4	24	35	28	11	3
0	444.3	57	34	6	2	1
0	*	*	*	*	*	*
0	429.0	53	38	7	2	0
0	419.4	48	27	13	8	4
0	333.9	8	31	33	21	8
0	360.1	28	27	29	9	7
0	389.2	40	26	17	10	6
0	369.5	32	32	26	7	3
0	365.8	19	38	25	15	4
0	*	*	*	*	*	*
0	349.5	15	33	28	20	4
0	*	*	*	*	*	*
0	386.5	33	34	22	9	3
0	465.6	71	20	4	3	1
0	361.0	29	28	23	9	11
0	369.6	32	31	29	5	3
0	362.3	35	20	21	14	10
0	330.8	8	24	42	14	11
0	334.7	13	21	41	15	9
0	324.6	3	23	49	15	10
0	*	*	*	*	*	*
0	311.1	4	19	29	31	17
0	370.5	32	34	23	8	3
0	325.8	5	27	31	27	10
0	304.3	1	15	34	39	10
0	300.1	2	14	28	44	12
0	278.9	0	0	31	40	29
0	332.4	9	28	31	23	9
0	*	*	*	*	*	*
0	393.0	31	41	18	8	1
0	348.1	21	27	27	12	13
0	343.6	17	25	39	11	9
0	346.2	16	28	38	12	6
0	339.1	12	29	38	11	10
0	348.9	20	26	36	11	6
0	300.0	0	8	43	23	26
0	300.0	0	2	51	31	16
0	*	*	*	*	*	*
0	252.1	0	0	0	4	96
0	357.1	26	27	28	10	9
0	355.1	25	31	28	9	7
0	296.8	1	12	28	40	19
0	288.9	1	9	25	43	21
0	276.0	0	5	18	54	23
0	272.2	0	4	4	54	38
0	293.2	1	12	28	37	23
0	268.5	2	0	16	44	38
0	344.8	14	31	27	23	5
0	278.0	7	10	17	14	52
0	355.1	26	28	23	9	13
0	361.4	29	26	29	9	7
0	325.4	9	19	39	19	14
0	334.0	10	26	39	12	12
0	357.3	25	28	32	9	6
0	296.7	1	5	42	25	28
0	325.0	6	22	45	14	13
0	300.4	0	5	45	32	18
0	348.3	23	27	25	14	10
0	284.9	1	8	20	44	27
0	292.1	1	10	27	43	19
0	321.4	9	21	26	34	10
0	280.3	0	3	24	45	29
0	319.3	8	21	29	28	15
0	271.3	2	0	22	42	35
0	351.9	16	32	26	21	5
0	347.2	21	26	26	12	14
0	357.2	25	27	33	8	6
0	335.8	13	23	38	15	10
0	333.3	9	26	41	13	11
0	346.9	20	25	36	12	7
0	313.1	2	16	46	19	17
0	306.4	2	7	49	27	15
0	297.4	0	4	43	25	29
0	252.1	0	0	0	4	96
0	328.5	7	28	32	23	10
0	343.1	13	29	26	23	9
0	314.9	13	20	25	30	12
0	322.1	8	27	25	34	5
0	325.0	12	26	24	27	11
0	335.5	18	23	24	23	12
0	337.3	21	23	26	26	4
0	347.7	20	31	28	15	5
0	328.4	13	26	23	31	8
0	34.6	0	0	0	0	0
0	35.7	0	0	0	0	0
0	35.3	0	0	0	0	0
0	35.4	0	0	0	0	0
0	34.0	0	0	0	0	0
0	36.4	0	0	0	0	0
0	35.4	0	0	0	0	0
0	35.3	0	0	0	0	0
0	37.3	0	0	0	0	0
0	38.6	0	0	0	0	0
0	38.7	0	0	0	0	0
0	38.2	0	0	0	0	0
0	38.5	0	0	0	0	0
0	38.2	0	0	0	0	0
0	398.4	46	34	14	4	2
0	430.8	60	26	10	4	0
0	380.5	36	36	20	6	2
0	440.4	61	23	10	5	1
0	400.9	56	27	14	3	1
0	418.6	58	24	12	5	0
0	385.0	30	40	23	5	2
0	387.2	42	35	18	3	1
0	419.3	43	32	15	9	2
0	386.3	43	35	18	4	1
0	398.1	38	33	19	8	1
0	387.8	41	35	18	3	2
0	380.5	30	35	24	9	2
0	474.5	73	22	3	2	0
0	442.3	58	37	3	2	0
0	461.3	75	17	0	8	0
0	337.6	9	31	34	20	6
0	369.3	32	28	27	8	6
0	395.7	43	26	16	9	6
0	376.3	37	31	23	6	3
0	373.0	21	39	23	14	3
0	*	*	*	*	*	*
0	351.0	17	30	28	21	4
0	*	*	*	*	*	*
0	403.5	42	33	18	5	3
0	494.7	76	14	5	5	0
0	382.9	40	29	19	4	7
0	379.5	38	30	27	3	3
0	397.9	50	24	26	0	0
0	326.7	5	22	48	13	12
0	340.4	17	22	36	16	8
0	328.5	6	18	62	12	3
0	312.7	2	20	37	28	13
0	374.5	34	34	22	7	3
0	324.4	5	27	29	28	11
0	312.2	2	15	42	35	6
0	297.4	2	12	28	44	14
0	*	*	*	*	*	*
0	334.4	12	26	28	25	9
0	*	*	*	*	*	*
0	405.2	38	40	17	5	1
0	353.3	24	27	27	12	11
0	349.2	18	25	40	10	6
0	351.4	20	27	36	12	5
0	347.6	14	34	37	9	6
0	365.5	32	28	27	8	6
0	301.1	0	8	45	27	20
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	360.2	26	28	29	10	7
0	359.9	27	32	28	8	5
0	299.9	0	13	30	41	16
0	291.3	1	7	31	44	18
0	276.6	0	4	18	56	21
0	*	*	*	*	*	*
0	290.9	2	11	24	39	25
0	*	*	*	*	*	*
0	348.6	15	30	29	22	5
0	286.3	11	8	22	12	47
0	358.8	27	29	23	8	12
0	371.1	34	28	26	7	6
0	325.5	9	17	40	19	14
0	332.4	10	26	41	12	11
0	360.9	28	29	28	9	7
0	298.8	0	0	46	31	23
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	354.1	26	28	25	13	8
0	284.9	1	5	24	45	25
0	297.5	1	9	34	41	14
0	329.8	13	21	24	32	10
0	297.3	0	0	50	33	17
0	327.8	12	21	25	27	14
0	*	*	*	*	*	*
0	360.6	20	31	26	19	4
0	355.0	25	26	26	11	11
0	364.6	29	27	32	7	5
0	339.1	15	22	38	15	9
0	330.7	7	25	45	12	11
0	350.5	23	25	32	13	7
0	310.5	2	10	51	22	15
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	332.3	8	28	35	21	8
0	354.0	17	30	24	21	8
0	337.1	11	28	22	39	0
0	328.6	19	19	23	31	8
0	354.5	30	21	18	28	3
0	342.8	18	22	29	24	8
0	349.5	21	33	21	17	7
0	364.6	28	33	30	7	2
0	361.1	21	44	26	7	2
0	35.4	0	0	0	0	0
0	35.9	0	0	0	0	0
0	38.4	0	0	0	0	0
0	*	*	*	*	*	*
0	39.1	0	0	0	0	0
0	33.1	0	0	0	0	0
0	32.9	0	0	0	0	0
0	34.6	0	0	0	0	0
0	*	*	*	*	*	*
0	39.8	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	386.6	38	38	19	4	1
0	398.1	37	45	13	5	0
0	386.3	33	47	19	1	0
0	457.1	71	22	6	1	0
0	408.4	64	31	5	0	0
0	433.4	69	23	7	1	0
0	380.8	24	48	25	3	0
0	387.3	38	47	14	1	0
0	425.2	45	37	13	5	0
0	374.0	26	50	21	2	0
0	381.9	28	39	24	8	1
0	371.2	22	48	27	2	0
0	368.0	20	40	32	8	1
0	429.1	50	36	10	3	1
0	416.2	42	43	13	2	0
0	*	*	*	*	*	*
0	351.0	10	40	36	13	1
0	352.5	19	30	37	9	4
0	373.5	30	32	23	11	4
0	359.3	19	37	37	5	1
0	360.3	15	38	26	16	4
0	*	*	*	*	*	*
0	331.6	9	26	32	28	5
0	*	*	*	*	*	*
0	358.5	23	26	28	18	5
0	470.4	75	25	0	0	0
0	347.8	20	28	29	12	11
0	351.6	17	31	42	6	3
0	340.1	26	10	26	26	13
0	327.2	4	22	51	14	9
0	327.5	9	19	43	19	10
0	321.2	1	15	64	15	6
0	330.4	4	32	34	22	8
0	360.0	19	41	32	6	2
0	324.7	4	26	34	28	7
0	311.4	0	19	35	46	0
0	293.6	1	11	27	49	12
