District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	*	*	*	*	*	*
0	289.3	0	0	43	13	43
0	314.2	1	24	36	19	20
0	324.6	6	24	38	19	13
0	*	*	*	*	*	*
0	321.6	7	19	41	19	14
0	*	*	*	*	*	*
0	344.2	15	31	39	10	6
0	280.4	6	8	20	16	50
0	278.9	0	5	21	53	21
0	296.2	2	11	31	34	22
0	286.7	1	8	21	46	23
0	342.7	18	28	26	14	15
0	284.1	0	7	25	48	20
0	337.4	13	29	26	25	6
0	264.0	0	0	9	55	36
0	358.2	27	26	31	10	7
0	351.2	26	25	27	13	9
0	339.4	12	28	26	26	9
0	323.6	6	22	41	18	13
0	*	*	*	*	*	*
0	286.1	0	8	25	49	18
0	319.2	7	20	29	34	10
0	262.4	0	0	12	47	41
0	321.9	9	20	31	26	15
0	315.6	4	21	34	26	14
0	344.4	16	30	25	23	6
0	337.0	16	24	29	11	19
0	340.5	13	28	41	11	6
0	353.3	22	28	35	9	6
0	333.3	11	24	41	15	10
0	319.4	2	21	49	16	12
0	301.9	0	0	73	9	18
0	291.3	0	0	44	15	41
0	327.0	8	30	25	33	4
0	311.5	9	19	27	35	9
0	338.1	16	25	26	27	7
0	333.9	9	34	27	23	6
0	339.5	12	29	31	25	4
0	342.5	11	34	32	20	3
0	339.0	21	20	30	27	2
0	335.9	18	26	25	25	6
0	328.0	9	30	25	29	7
0	307.3	6	23	26	29	17
0	326.7	14	23	28	28	8
0	321.7	7	23	36	23	11
0	321.1	11	22	27	28	12
0	39.6	0	0	0	0	0
0	39.0	0	0	0	0	0
0	39.4	0	0	0	0	0
0	38.6	0	0	0	0	0
0	39.4	0	0	0	0	0
0	35.6	0	0	0	0	0
0	36.3	0	0	0	0	0
0	36.6	0	0	0	0	0
0	35.3	0	0	0	0	0
0	36.7	0	0	0	0	0
0	34.8	0	0	0	0	0
0	36.1	0	0	0	0	0
0	36.1	0	0	0	0	0
0	35.3	0	0	0	0	0
0	353.3	25	31	29	14	1
