District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	351.5	23	23	30	16	9
0	322.0	12	16	28	25	18
0	329.7	14	21	32	20	12
0	*	*	*	*	*	*
0	313.3	0	32	32	11	26
0	*	*	*	*	*	*
0	312.3	5	17	31	40	8
0	324.4	13	25	25	25	11
0	*	*	*	*	*	*
0	302.1	8	8	38	14	32
0	313.0	11	13	27	19	29
0	323.3	10	24	22	28	16
0	326.7	10	28	32	26	4
0	313.2	8	20	34	23	15
0	320.4	15	19	23	19	23
0	306.2	4	8	42	31	15
0	307.7	8	12	34	18	28
0	325.3	13	25	20	25	18
0	371.2	31	33	21	9	5
0	388.2	38	31	17	11	3
0	406.2	43	27	18	10	2
0	358.0	25	29	29	12	6
0	388.4	47	26	19	6	2
0	401.5	50	27	15	8	1
0	401.1	35	34	18	11	3
0	374.2	26	36	26	8	4
0	379.7	38	33	21	5	3
0	376.3	36	33	23	5	2
0	375.6	28	32	24	13	3
0	365.4	21	35	28	13	3
0	438.8	55	33	8	3	1
0	378.4	34	35	23	6	2
0	375.3	35	31	25	6	2
0	422.6	51	35	12	3	0
0	363.9	18	36	26	16	4
0	361.4	29	26	28	9	8
0	519.0	89	5	5	0	0
0	*	*	*	*	*	*
0	323.5	5	25	34	26	10
0	395.4	43	27	16	10	5
0	*	*	*	*	*	*
0	297.5	2	13	27	37	21
0	333.2	3	33	46	12	5
0	390.9	33	40	18	7	2
0	419.2	48	39	10	3	0
0	325.8	6	26	29	30	10
0	346.2	13	33	30	22	3
0	377.9	37	35	20	6	2
0	*	*	*	*	*	*
0	337.5	12	25	39	14	10
0	372.0	30	35	28	5	2
0	360.1	24	31	29	7	9
0	362.9	23	37	31	7	3
0	328.3	7	24	42	16	11
0	346.5	19	26	32	10	13
0	363.8	28	28	28	10	6
0	351.1	14	37	38	8	4
0	348.7	17	27	39	11	6
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	364.8	31	30	27	8	4
0	*	*	*	*	*	*
0	299.0	1	13	29	46	11
0	297.3	1	12	28	42	17
0	388.7	27	48	16	8	1
0	335.8	10	28	32	22	8
0	322.7	4	19	53	12	11
0	291.6	0	12	23	50	15
0	333.3	8	29	40	14	9
0	349.7	14	31	43	9	3
0	290.6	1	9	26	47	17
0	325.3	3	22	52	12	11
0	293.5	1	12	27	38	22
0	342.7	12	32	28	24	4
0	287.8	1	9	22	44	23
0	346.4	21	28	27	12	12
0	356.3	25	30	28	11	6
0	279.8	0	5	20	56	19
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	368.9	31	27	27	9	5
0	354.4	18	36	33	8	5
0	290.7	6	11	26	17	40
0	331.4	8	21	47	17	8
0	327.5	7	24	41	17	11
0	340.6	11	26	44	13	5
0	346.5	19	26	32	10	13
0	346.4	15	31	36	11	7
0	362.3	25	30	32	8	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	325.4	10	22	27	34	8
0	347.0	14	29	26	23	8
0	323.9	9	22	29	27	13
0	328.4	4	27	49	12	8
0	290.6	1	10	24	48	17
0	317.7	5	22	32	29	12
0	350.3	14	35	26	21	4
0	329.1	7	25	41	16	10
0	328.7	7	33	24	31	5
0	323.8	15	21	29	30	6
0	340.0	18	23	25	28	6
0	328.6	7	33	26	28	6
0	351.0	16	34	26	21	3
0	348.4	24	23	28	23	2
0	349.0	13	38	32	15	2
0	329.9	21	20	23	26	11
0	328.9	11	25	23	30	11
0	307.5	6	21	23	32	19
0	*	*	*	*	*	*
0	338.4	18	27	25	21	9
0	310.8	6	19	32	29	13
0	342.4	16	29	27	16	11
0	341.1	17	29	25	22	7
0	318.5	10	22	26	25	17
0	313.3	6	17	34	32	12
0	294.3	0	15	30	33	21
0	306.9	4	15	34	35	12
0	312.5	7	17	34	30	11
0	318.8	9	22	30	27	12
0	317.5	5	26	33	24	12
0	301.1	1	16	34	37	11
0	296.3	3	15	30	35	17
0	300.6	1	12	35	42	10
0	302.8	2	13	34	38	12
0	310.3	6	17	34	32	12
0	367.1	23	33	28	16	1
0	350.8	27	25	31	16	2
0	384.5	33	31	23	13	1
0	364.0	32	29	25	13	1
0	355.7	31	30	20	13	6
0	381.0	28	39	16	13	3
0	375.8	33	23	22	19	3
0	357.4	30	24	25	11	10
0	371.4	29	30	29	11	1
0	366.0	31	19	25	17	9
0	317.8	9	23	25	23	21
0	351.2	21	29	29	13	8
0	346.7	18	26	39	14	4
0	320.8	7	23	33	17	20
0	300.7	3	12	27	32	26
0	342.0	12	33	40	13	2
0	*	*	*	*	*	*
0	306.9	3	19	31	39	8
0	348.3	13	39	35	13	1
0	315.1	10	12	31	27	20
0	324.7	5	29	38	10	19
0	335.5	10	29	43	14	4
0	320.8	8	17	29	33	13
0	312.1	5	18	29	38	9
0	311.8	6	16	31	25	22
0	404.6	47	30	14	8	2
0	379.8	36	34	18	7	5
0	370.3	30	33	26	8	4
0	428.3	53	25	14	7	1
0	400.0	56	26	14	3	1
0	417.2	58	24	11	5	1
0	421.6	44	33	15	7	2
0	392.3	35	39	20	4	2
0	388.2	43	35	17	3	1
0	388.3	34	34	21	9	2
0	383.0	40	36	19	3	1
0	383.2	35	38	20	4	1
0	375.3	25	38	26	10	2
0	440.2	55	33	9	3	1
0	365.4	19	37	25	16	4
0	374.7	36	27	24	6	6
0	493.8	82	12	3	1	1
0	330.6	7	29	34	22	8
0	*	*	*	*	*	*
0	414.7	52	26	13	7	3
0	377.5	37	33	24	5	2
0	424.5	52	35	11	2	0
0	*	*	*	*	*	*
0	345.2	16	27	38	12	7
0	378.3	34	35	25	4	2
0	350.1	14	34	29	20	3
0	337.4	5	36	44	10	5
0	*	*	*	*	*	*
0	381.0	38	37	19	5	2
0	374.0	29	38	26	5	2
0	372.0	32	30	25	6	8
0	434.0	53	35	8	4	1
0	*	*	*	*	*	*
0	305.1	3	17	28	34	18
0	397.0	36	38	17	6	2
0	340.8	13	30	38	11	8
0	329.4	6	28	29	28	8
0	299.8	1	14	30	39	17
0	346.6	15	34	35	9	7
0	339.7	11	30	31	20	8
0	296.7	1	12	25	49	13
0	397.1	33	45	14	7	1
0	365.0	29	28	28	7	8
0	356.9	19	32	39	8	3
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	368.2	32	33	26	6	3
0	329.6	7	22	55	9	8
0	305.3	2	16	31	42	9
0	357.1	22	30	35	8	6
0	359.0	20	37	33	7	3
0	*	*	*	*	*	*
0	375.8	35	29	24	7	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	305.6	0	6	59	24	12
0	*	*	*	*	*	*
0	364.9	26	35	29	6	4
0	375.7	36	27	25	7	5
0	284.1	1	7	22	52	17
0	325.3	3	27	45	11	14
0	306.5	8	23	15	15	38
0	337.7	11	23	45	15	7
0	308.5	13	16	25	10	36
0	351.2	15	34	26	21	4
0	294.9	1	10	29	44	16
0	297.2	1	13	29	36	20
0	341.6	13	32	36	11	8
0	289.7	1	11	21	43	24
0	361.8	29	29	24	9	9
0	359.1	26	31	28	10	5
0	351.1	15	31	25	22	7
0	329.3	10	24	29	25	12
0	295.6	1	11	28	46	15
0	325.0	6	26	32	25	11
0	359.8	19	36	24	18	3
0	364.5	29	28	28	7	9
0	347.7	15	28	41	11	5
0	301.1	0	5	50	23	23
0	*	*	*	*	*	*
0	296.9	8	17	8	29	38
0	331.9	11	24	27	31	7
0	331.6	5	30	46	10	9
0	356.2	21	32	33	9	5
0	369.7	30	31	29	6	4
0	347.5	17	25	25	17	17
0	342.3	13	31	37	11	8
0	324.1	14	22	26	30	7
0	329.7	9	31	23	29	7
0	333.9	12	30	27	24	7
0	343.9	20	22	24	26	7
0	351.1	26	23	26	23	2
0	360.1	22	38	26	13	2
0	344.7	16	30	25	26	4
0	333.1	11	28	24	25	11
0	331.8	23	19	21	24	12
0	342.3	21	25	22	22	9
0	313.6	8	23	20	29	20
0	*	*	*	*	*	*
0	311.7	8	17	29	30	15
0	356.4	24	31	20	15	10
0	343.0	22	25	22	23	8
0	326.8	14	23	25	23	15
0	308.8	7	15	32	30	15
0	309.5	4	20	31	33	13
0	312.6	6	15	36	30	11
0	311.5	7	16	33	32	12
0	323.3	12	24	26	23	14
0	330.3	12	29	28	19	12
0	303.9	5	18	25	38	14
0	307.0	8	21	25	28	18
0	302.7	2	14	36	34	14
0	309.3	7	16	31	32	14
0	307.8	4	15	35	32	13
0	412.8	57	28	11	2	2
0	442.9	67	23	7	4	0
0	471.4	73	17	8	2	0
0	398.0	46	33	17	4	1
0	424.6	71	19	8	2	0
0	449.2	73	17	7	2	0
0	462.7	62	26	8	4	0
0	416.0	49	37	12	2	0
0	410.6	62	28	8	1	1
0	403.2	56	31	12	1	0
0	424.3	52	29	14	4	1
0	468.5	71	20	6	2	0
0	393.8	34	38	20	7	1
0	402.0	48	34	14	4	0
0	394.2	48	31	18	2	1
0	449.9	68	24	6	2	0
0	*	*	*	*	*	*
0	332.8	7	30	35	20	8
0	439.5	61	24	9	4	2
0	377.7	23	40	23	11	3
0	395.2	49	25	18	4	4
0	497.6	87	9	4	0	0
0	414.1	45	35	15	4	1
0	342.6	11	33	39	8	8
0	329.9	8	26	31	27	9
0	306.7	1	15	41	31	12
0	*	*	*	*	*	*
0	451.7	64	26	6	4	0
0	355.7	17	35	28	18	2
0	*	*	*	*	*	*
0	360.5	23	34	31	9	4
0	386.3	41	33	22	3	1
0	392.8	47	34	14	4	1
0	394.3	42	33	16	5	3
0	394.1	39	45	14	1	0
0	371.9	27	33	32	6	2
0	380.9	36	29	24	5	6
0	381.5	42	32	20	4	2
0	371.2	30	31	29	7	4
0	391.6	45	28	20	5	3
0	373.9	29	37	28	4	2
0	320.6	0	7	73	13	7
0	309.2	4	17	30	42	8
0	414.0	43	43	10	4	0
0	302.3	7	13	13	53	13
0	307.7	2	16	34	37	11
0	355.5	18	41	30	5	5
0	346.1	14	31	30	19	7
0	303.0	2	17	26	37	17
0	345.0	15	35	28	14	8
0	300.1	2	16	23	39	20
0	376.2	36	31	21	6	6
0	374.3	36	32	22	7	3
0	298.4	2	10	34	38	16
0	370.3	23	37	22	15	2
0	289.0	1	9	27	49	14
0	*	*	*	*	*	*
0	375.8	35	32	27	4	3
0	395.8	49	26	16	5	5
0	318.3	11	24	29	6	30
0	350.2	18	24	42	10	5
0	362.5	23	29	36	8	3
0	381.2	36	29	23	5	6
0	369.4	29	33	29	6	3
0	382.2	38	31	24	5	3
0	348.5	19	25	25	26	5
0	382.8	29	38	19	12	2
0	344.3	16	27	26	22	9
0	321.5	4	12	62	15	8
0	300.8	4	10	30	42	14
0	327.0	5	27	36	23	9
0	369.3	23	31	24	17	5
0	345.1	13	35	35	9	8
0	312.1	7	21	29	36	7
0	329.9	28	11	17	39	6
0	385.9	33	25	29	13	0
0	352.8	13	27	47	13	0
0	365.5	18	43	21	18	0
0	361.1	15	48	30	7	0
0	357.7	26	30	30	15	0
0	364.8	33	30	11	26	0
0	371.0	19	37	37	4	4
0	347.8	23	28	21	15	13
0	323.3	8	33	20	15	25
0	*	*	*	*	*	*
0	359.9	26	30	17	25	2
0	355.1	22	33	20	12	14
0	341.5	16	31	24	20	8
0	330.2	13	17	39	26	4
0	*	*	*	*	*	*
0	307.2	8	8	46	23	15
0	355.3	24	24	24	29	0
0	334.0	12	41	20	10	17
0	334.4	15	24	35	15	11
0	303.8	4	20	28	28	20
0	316.8	8	23	23	46	0
0	305.7	0	7	47	40	7
0	306.2	3	6	47	34	9
0	334.3	17	18	32	30	3
0	399.2	44	42	13	1	0
0	428.0	57	31	9	3	0
0	452.7	64	27	8	1	0
0	381.1	31	44	24	1	0
0	408.9	63	29	7	0	0
0	433.2	69	23	7	1	0
0	429.6	45	37	13	4	0
0	388.1	38	44	16	1	0
0	385.9	28	46	24	2	0
0	379.0	32	44	22	2	0
0	386.5	31	37	25	7	0
0	372.0	24	46	27	3	1
0	371.6	21	40	29	8	1
0	426.2	47	34	13	5	1
0	358.2	14	37	29	17	3
0	363.5	26	30	33	7	4
0	525.7	86	14	0	0	0
0	336.1	5	32	40	20	3
0	394.7	40	31	18	8	2
0	*	*	*	*	*	*
0	401.1	39	37	20	5	0
0	363.5	23	38	33	5	1
0	328.6	7	25	34	30	4
0	368.0	24	44	26	5	1
0	*	*	*	*	*	*
0	325.1	5	21	53	16	5
0	315.6	3	22	37	29	10
0	427.5	45	45	5	0	5
0	386.5	30	39	19	9	3
0	335.4	8	28	46	12	6
0	333.2	11	21	42	17	9
0	360.4	19	37	37	6	2
0	357.9	23	30	30	7	10
0	358.1	23	28	42	7	0
0	321.4	3	25	32	32	8
0	305.2	1	16	33	38	12
0	342.8	11	28	47	10	4
0	353.6	21	28	35	9	8
0	361.0	24	31	32	9	4
0	349.2	15	29	43	8	5
0	347.0	13	31	42	10	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	357.8	21	34	36	6	2
0	*	*	*	*	*	*
0	342.5	10	32	43	10	5
0	331.2	9	26	32	22	10
0	383.4	29	40	17	12	2
0	324.4	0	18	68	0	14
0	302.2	1	13	31	44	10
0	296.4	1	10	29	48	11
0	283.3	0	7	21	54	18
0	296.6	0	8	36	45	11
0	326.4	0	27	52	9	11
0	331.6	9	28	29	29	5
0	295.3	1	11	30	38	19
0	338.6	8	31	45	10	5
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	352.6	16	35	38	7	4
0	360.2	24	28	35	8	5
0	309.5	11	19	28	10	33
0	328.8	7	19	49	18	7
0	292.6	1	12	22	44	20
0	353.4	21	30	30	11	7
0	347.6	15	32	38	11	4
0	344.5	12	30	29	24	6
0	335.2	9	23	48	15	6
0	352.8	21	28	34	9	9
0	*	*	*	*	*	*
0	344.0	14	29	40	12	6
0	355.6	18	32	39	7	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	320.2	8	21	30	28	14
0	338.9	12	30	27	26	5
0	332.5	4	30	40	22	4
0	325.6	1	24	56	8	11
0	298.2	0	10	34	44	11
0	314.6	6	17	29	39	8
0	*	*	*	*	*	*
0	338.2	9	30	45	11	6
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	326.9	0	50	21	14	14
0	350.6	33	22	6	33	6
0	363.7	35	23	17	23	2
0	375.5	26	40	17	14	3
0	356.6	25	36	17	17	5
0	352.3	36	24	14	12	14
0	353.5	19	33	21	20	8
0	344.1	12	31	22	26	8
0	378.1	34	36	17	9	5
0	*	*	*	*	*	*
0	335.4	13	31	23	26	8
0	395.0	42	34	14	8	1
0	389.7	41	36	16	3	5
0	366.9	26	36	25	6	7
0	339.5	11	32	33	17	7
